kit_name	hg19_target_base	hg38_target_base
Not Applicable	NA	NA
Unknown	NA	NA
Nextera Rapid Capture Exome v1.2	45315485	NA
Custom SureSelect TARGET-AML_NBL_WT Panel - 2.8 Mb	2784497	NA
Custom SeqCap EZ TARGET-OS Panel - 7.0 Mb	6813906	NA
Custom Large Construct Capture TARGET-OS Panel - 8 Genes	1819513	NA
TruSeq Exome Enrichment - 62 Mb	62085286	NA
SureSelect Human All Exon v3	51542852	NA
SureSelect Human All Exon v5	50390601	NA
Custom HaloPlex DLBCL Panel - 370 Genes	4026773	NA
Custom PGDX SureSelect CancerSelect VAREPOP-APOLLO Panel - 203 Genes	1881404	NA
Custom PGDX SureSelect CancerSelect VAREPOP-APOLLO Panel - 88 Genes	478861	NA
SeqCap EZ HGSC VCRome v2.1	37259743	NA
Custom SeqCap EZ HGSC VCRome v2.1 ER Augmented v1	36008535	NA
Custom SeqCap EZ HGSC VCRome v2.1 ER Augmented v2	36018870	NA
Custom GENIE-DFCI OncoPanel - 275 Genes	1617592	NA
Custom GENIE-DFCI Oncopanel - 300 Genes	1886670	NA
Custom GENIE-DFCI Oncopanel - 447 Genes	3451845	NA
Custom MSK IMPACT Panel - 341 Genes	926270	NA
Custom MSK IMPACT Panel - 410 Genes	1049575	NA
Custom MSK IMPACT Panel - 468 Genes	1139316	NA
Ion AmpliSeq Cancer Hotspot Panel v2	22027	NA
Custom Ion AmpliSeq Hotspot GENIE-MOSC3 Augmented Panel - 74 Genes	138164	NA
Custom AmpliSeq Cancer Hotspot GENIE-MDA Augmented Panel v1 - 46 Genes	13570	NA
Ion AmpliSeq Comprehensive Cancer Panel	1688650	NA
TruSeq Amplicon Cancer Panel	35843	NA
TruSight Myeloid Sequencing Panel	125784	NA
Custom SureSelect GENIE-UHN Panel - 555 Genes	9923147	NA
Foundation Medicine T5a Panel - 322 Genes	1113416	NA
Foundation Medicine T7 Panel - 429 Genes	1561647	NA
Custom Solid Tumor GENIE-VICC Panel - 34 Genes	19141	NA
Custom Myeloid GENIE-VICC Panel - 37 Genes	70735	NA
Custom SureSelect CGCI-BLGSP Panel - 4.6 Mb	4639316	NA
Custom SureSelect CGCI-BLGSP Panel - 7.8 Mb	NA	7842585
Custom Personalis ACEcp VAREPOP-APOLLO Panel v2	14860081	NA
xGen Exome Research Panel v1.0	38874504	NA
SureSelect Human All Exon v5 + UTR	74569526	NA
SeqCap EZ Human Exome v2.0	35961919	NA
SeqCap EZ Human Exome v3.0	64190747	NA
SureSelect Human All Exon v4	51189145	NA
Custom SureSelect Human All Exon v1.1 Plus 3 Boosters	32950014	NA
Custom SureSelect CGCI-HTMCP-CC Panel - 19.7 Mb	19701602	NA
Custom Twist Broad PanCancer Panel - 396 Genes	1668012	NA
Nextera DNA Exome	45326818	NA
Custom Twist Broad Exome v1.0 - 35.0 Mb	34956527	NA
Custom SureSelect CGCI-HTMCP-CC KMT2D And Hotspot Panel - 37.0 Kb	36950	NA
TruSeq RNA Exome	45315485	NA
Custom SeqCap EZ BeatAML Panel - 12.5 Mb	12472576	NA
Twist Human Comprehensive Exome	NA	36715240
Custom TWIST MP2PRT-WT Panel - 52 Kb	51999	NA
